Id,Label
0,4
1,1
2,2
3,1
4,0
5,0
6,2
7,3
8,0
9,1
10,3
11,3
12,3
13,3
14,0
15,3
16,3
17,3
18,2
19,4
20,1
21,2
22,2
23,3
24,3
25,3
26,3
27,3
28,1
29,1
30,4
31,1
32,1
33,4
34,0
35,3
36,3
37,3
38,1
39,2
40,0
41,0
42,1
43,0
44,3
45,2
46,1
47,0
48,3
49,4
50,2
51,3
52,3
53,3
54,3
55,3
56,4
57,1
58,2
59,4
60,1
61,4
62,4
63,3
64,0
65,2
66,0
67,1
68,2
69,0
70,2
71,4
72,2
73,0
74,3
75,1
76,4
77,3
78,2
79,2
80,1
81,1
82,4
83,3
84,1
85,2
86,3
87,2
88,2
89,2
90,2
91,2
92,0
93,2
94,2
95,2
96,1
97,0
98,0
99,3
100,1
101,1
102,4
103,3
104,2
105,3
106,3
107,1
108,4
109,1
110,4
111,0
112,1
113,2
114,1
115,4
116,1
117,2
118,4
119,3
120,2
121,3
122,2
123,1
124,1
125,3
126,4
127,1
128,3
129,3
130,3
131,4
132,3
133,2
134,2
135,4
136,1
137,3
138,4
139,3
140,1
141,3
142,1
143,1
144,4
145,4
146,4
147,3
148,4
149,1
150,0
151,3
152,2
153,4
154,1
155,0
156,4
157,2
158,3
159,3
160,0
161,0
162,1
163,3
164,0
165,3
166,4
167,4
168,3
169,2
170,4
171,2
172,0
173,3
174,3
175,3
176,1
177,0
178,0
179,4
180,4
181,0
182,3
183,0
184,3
185,4
186,1
187,2
188,3
189,3
190,0
191,1
192,0
193,4
194,1
195,0
196,1
197,1
198,3
199,2
200,1
201,4
202,3
203,1
204,3
205,1
206,4
207,0
208,1
209,0
210,0
211,1
212,4
213,0
214,4
215,2
216,2
217,1
218,0
219,1
220,0
221,3
222,3
223,3
224,2
225,3
226,2
227,1
228,1
229,1
230,3
231,4
232,3
233,2
234,0
235,2
236,3
237,1
238,1
239,3
240,3
241,1
242,4
243,2
244,1
245,2
246,1
247,2
248,3
249,0
250,0
251,1
252,2
253,3
254,0
255,0
256,3
257,3
258,2
259,1
260,3
261,4
262,4
263,3
264,2
265,0
266,4
267,1
268,3
269,1
270,1
271,3
272,2
273,2
274,2
275,0
276,3
277,1
278,1
279,0
280,2
281,4
282,4
283,1
284,3
285,1
286,1
287,3
288,3
289,2
290,3
291,1
292,4
293,0
294,1
295,1
296,1
297,3
298,2
299,1
300,1
301,3
302,3
303,1
304,3
305,2
306,4
307,0
308,1
309,1
310,1
311,4
312,3
313,1
314,3
315,2
316,3
317,0
318,2
319,1
320,4
321,0
322,3
323,3
324,1
325,0
326,0
327,4
328,4
329,1
330,4
331,0
332,3
333,4
334,1
335,2
336,2
337,1
338,2
339,4
340,1
341,4
342,4
343,1
344,2
345,2
346,0
347,4
348,1
349,4
350,1
351,1
352,3
353,1
354,2
355,2
356,1
357,3
358,1
359,2
360,1
361,4
362,2
363,0
364,2
365,4
366,1
367,0
368,0
369,1
370,2
371,4
372,4
373,1
374,4
375,1
376,3
377,0
378,1
379,3
380,0
381,4
382,1
383,1
384,3
385,2
386,3
387,2
388,4
389,1
390,1
391,4
392,4
393,3
394,0
395,4
396,4
397,2
398,1
399,3
400,2
401,1
402,3
403,4
404,1
405,4
406,4
407,3
408,2
409,3
410,4
411,2
412,4
413,2
414,3
415,1
416,1
417,1
418,2
419,3
420,3
421,1
422,1
423,2
424,4
425,4
426,3
427,1
428,1
429,2
430,2
431,3
432,2
433,1
434,1
435,0
436,0
437,1
438,0
439,3
440,2
441,1
442,1
443,0
444,1
445,0
446,2
447,1
448,3
449,1
450,1
451,2
452,0
453,3
454,4
455,3
456,1
457,3
458,4
459,3
460,1
461,4
462,1
463,2
464,1
465,4
466,1
467,1
468,4
469,0
470,4
471,0
472,1
473,2
474,4
475,2
476,4
477,1
478,3
479,0
480,1
481,1
482,3
483,0
484,3
485,1
486,3
487,4
488,0
489,1
490,0
491,1
492,2
493,3
494,1
495,0
496,2
497,4
498,0
499,4
500,0
501,4
502,2
503,3
504,2
505,3
506,1
507,2
508,1
509,1
510,2
511,1
512,1
513,4
514,4
515,4
516,1
517,3
518,4
519,0
520,4
521,3
522,2
523,3
524,0
525,2
526,3
527,1
528,2
529,3
530,2
531,2
532,1
